method,return_type,return_description
"java.awt.Component.checkImage(Image,int,int,ImageObserver)",int,the bitwise inclusive OR of ImageObserver flags indicating what information about the image is currently available
java.awt.Component.setIgnoreRepaint(boolean),void,
java.awt.Component.getIgnoreRepaint(),boolean,whether or not paint messages received from the operating system should be ignored.
"java.awt.Component.contains(int,int)",boolean,
"java.awt.Component.inside(int,int)",boolean,
java.awt.Component.contains(Point),boolean,
"java.awt.Component.getComponentAt(int,int)",Component,"the component or subcomponent that contains the (x,y) location; null if the location is outside this component"
"java.awt.Component.locate(int,int)",Component,
java.awt.Component.getComponentAt(Point),Component,
java.awt.Component.deliverEvent(Event),void,
java.awt.Component.dispatchEvent(AWTEvent),void,
java.awt.Component.postEvent(Event),boolean,
java.awt.Component.addComponentListener(ComponentListener),void,
java.awt.Component.removeComponentListener(ComponentListener),void,
java.awt.Component.getComponentListeners(),ComponentListener[],all ComponentListeners of this component or an empty array if no component listeners are currently registered
java.awt.Component.addFocusListener(FocusListener),void,
java.awt.Component.removeFocusListener(FocusListener),void,
java.awt.Component.getFocusListeners(),FocusListener[],all of this component's FocusListeners or an empty array if no component listeners are currently registered
java.awt.Component.addHierarchyListener(HierarchyListener),void,
java.awt.Component.removeHierarchyListener(HierarchyListener),void,
java.awt.Component.getHierarchyListeners(),HierarchyListener[],all of this component's HierarchyListeners or an empty array if no hierarchy listeners are currently registered
java.awt.Component.addHierarchyBoundsListener(HierarchyBoundsListener),void,
java.awt.Component.removeHierarchyBoundsListener(HierarchyBoundsListener),void,
java.awt.Component.getHierarchyBoundsListeners(),HierarchyBoundsListener[],all of this component's HierarchyBoundsListeners or an empty array if no hierarchy bounds listeners are currently registered
java.awt.Component.addKeyListener(KeyListener),void,
java.awt.Component.removeKeyListener(KeyListener),void,
java.awt.Component.getKeyListeners(),KeyListener[],all of this component's KeyListeners or an empty array if no key listeners are currently registered
java.awt.Component.addMouseListener(MouseListener),void,
java.awt.Component.removeMouseListener(MouseListener),void,
java.awt.Component.getMouseListeners(),MouseListener[],all of this component's MouseListeners or an empty array if no mouse listeners are currently registered
java.awt.Component.addMouseMotionListener(MouseMotionListener),void,
java.awt.Component.removeMouseMotionListener(MouseMotionListener),void,
java.awt.Component.getMouseMotionListeners(),MouseMotionListener[],all of this component's MouseMotionListeners or an empty array if no mouse motion listeners are currently registered
java.awt.Component.addMouseWheelListener(MouseWheelListener),void,
java.awt.Component.removeMouseWheelListener(MouseWheelListener),void,
java.awt.Component.getMouseWheelListeners(),MouseWheelListener[],all of this component's MouseWheelListeners or an empty array if no mouse wheel listeners are currently registered
java.awt.Component.addInputMethodListener(InputMethodListener),void,
java.awt.Component.removeInputMethodListener(InputMethodListener),void,
java.awt.Component.getInputMethodListeners(),InputMethodListener[],all of this component's InputMethodListeners or an empty array if no input method listeners are currently registered
java.awt.Component.getListeners(Class&lt;T&gt;),&lt;T extends EventListener&gt;T[],"an array of all objects registered as FooListeners on this component, or an empty array if no such listeners have been added"
java.awt.Component.getInputMethodRequests(),InputMethodRequests,"the input method request handler for this component, null by default"
java.awt.Component.getInputContext(),InputContext,the input context used by this component; null if no context can be determined
java.awt.Component.enableEvents(long),void,
java.awt.Component.disableEvents(long),void,
"java.awt.Component.coalesceEvents(AWTEvent,AWTEvent)",AWTEvent,"a coalesced event, or null indicating that no coalescing was done"
java.awt.Component.processEvent(AWTEvent),void,
java.awt.Component.processComponentEvent(ComponentEvent),void,
java.awt.Component.processFocusEvent(FocusEvent),void,
java.awt.Component.processKeyEvent(KeyEvent),void,
java.awt.Component.processMouseEvent(MouseEvent),void,
java.awt.Component.processMouseMotionEvent(MouseEvent),void,
java.awt.Component.processMouseWheelEvent(MouseWheelEvent),void,
java.awt.Component.processInputMethodEvent(InputMethodEvent),void,
java.awt.Component.processHierarchyEvent(HierarchyEvent),void,
java.awt.Component.processHierarchyBoundsEvent(HierarchyEvent),void,
java.awt.Component.handleEvent(Event),boolean,
"java.awt.Component.mouseDown(Event,int,int)",boolean,
"java.awt.Component.mouseDrag(Event,int,int)",boolean,
"java.awt.Component.mouseUp(Event,int,int)",boolean,
"java.awt.Component.mouseMove(Event,int,int)",boolean,
"java.awt.Component.mouseEnter(Event,int,int)",boolean,
"java.awt.Component.mouseExit(Event,int,int)",boolean,
"java.awt.Component.keyDown(Event,int)",boolean,
"java.awt.Component.keyUp(Event,int)",boolean,
"java.awt.Component.action(Event,Object)",boolean,
java.awt.Component.addNotify(),void,
java.awt.Component.removeNotify(),void,
"java.awt.Component.gotFocus(Event,Object)",boolean,
"java.awt.Component.lostFocus(Event,Object)",boolean,
java.awt.Component.isFocusTraversable(),boolean,true if this Component is focusable; false otherwise
java.awt.Component.isFocusable(),boolean,true if this Component is focusable; false otherwise.
java.awt.Component.setFocusable(boolean),void,
"java.awt.Component.setFocusTraversalKeys(int,Set&lt;?)",void,
java.awt.Component.getFocusTraversalKeys(int),Set&lt;AWTKeyStroke&gt;,"the Set of AWTKeyStrokes for the specified operation. The Set will be unmodifiable, and may be empty. null will never be returned."
java.awt.Component.areFocusTraversalKeysSet(int),boolean,true if the the Set of focus traversal keys for the given focus traversal operation has been explicitly defined for this Component; false otherwise.
java.awt.Component.setFocusTraversalKeysEnabled(boolean),void,
java.awt.Component.getFocusTraversalKeysEnabled(),boolean,whether focus traversal keys are enabled for this Component
java.awt.Component.requestFocus(),void,
java.awt.Component.requestFocus(boolean),boolean,false if the focus change request is guaranteed to fail; true if it is likely to succeed
java.awt.Component.requestFocusInWindow(),boolean,false if the focus change request is guaranteed to fail; true if it is likely to succeed
java.awt.Component.requestFocusInWindow(boolean),boolean,false if the focus change request is guaranteed to fail; true if it is likely to succeed
java.awt.Component.getFocusCycleRootAncestor(),Container,this Component's nearest focus-cycle-root ancestor
java.awt.Component.isFocusCycleRoot(Container),boolean,true if the specified Container is a focus-cycle- root of this Component; false otherwise
java.awt.Component.transferFocus(),void,
java.awt.Component.nextFocus(),void,
java.awt.Component.transferFocusBackward(),void,
java.awt.Component.transferFocusUpCycle(),void,
java.awt.Component.hasFocus(),boolean,true if this Component is the focus owner; false otherwise
java.awt.Component.isFocusOwner(),boolean,true if this Component is the focus owner; false otherwise
java.awt.Component.add(PopupMenu),void,
java.awt.Component.remove(MenuComponent),void,
java.awt.Component.paramString(),String,a string representation of this component's state
java.awt.Component.toString(),String,a string representation of this component
java.awt.Component.list(),void,
java.awt.Component.list(PrintStream),void,
"java.awt.Component.list(PrintStream,int)",void,
java.awt.Component.list(PrintWriter),void,
"java.awt.Component.list(PrintWriter,int)",void,
java.awt.Component.addPropertyChangeListener(PropertyChangeListener),void,
java.awt.Component.removePropertyChangeListener(PropertyChangeListener),void,
java.awt.Component.getPropertyChangeListeners(),PropertyChangeListener[],all of this component's PropertyChangeListeners or an empty array if no property change listeners are currently registered
"java.awt.Component.addPropertyChangeListener(String,PropertyChangeListener)",void,
"java.awt.Component.removePropertyChangeListener(String,PropertyChangeListener)",void,
java.awt.Component.getPropertyChangeListeners(String),PropertyChangeListener[],"all of the PropertyChangeListeners associated with the named property; if no such listeners have been added or if propertyName is null, an empty array is returned"
"java.awt.Component.firePropertyChange(String,Object,Object)",void,
"java.awt.Component.firePropertyChange(String,boolean,boolean)",void,
"java.awt.Component.firePropertyChange(String,int,int)",void,
"java.awt.Component.firePropertyChange(String,byte,byte)",void,
"java.awt.Component.firePropertyChange(String,char,char)",void,
"java.awt.Component.firePropertyChange(String,short,short)",void,
"java.awt.Component.firePropertyChange(String,long,long)",void,
"java.awt.Component.firePropertyChange(String,float,float)",void,
"java.awt.Component.firePropertyChange(String,double,double)",void,
java.awt.Component.setComponentOrientation(ComponentOrientation),void,
java.awt.Component.getComponentOrientation(),ComponentOrientation,
java.awt.Component.applyComponentOrientation(ComponentOrientation),void,
java.awt.Component.getAccessibleContext(),AccessibleContext,the AccessibleContext of this Component
java.awt.ComponentOrientation.isHorizontal(),boolean,
java.awt.ComponentOrientation.isLeftToRight(),boolean,
java.awt.ComponentOrientation.getOrientation(Locale),ComponentOrientation,
java.awt.ComponentOrientation.getOrientation(ResourceBundle),ComponentOrientation,
java.awt.Container.getComponentCount(),int,the number of components in this panel.
java.awt.Container.countComponents(),int,
java.awt.Container.getComponent(int),Component,the nth component in this container.
java.awt.Container.getComponents(),Component[],an array of all the components in this container.
java.awt.Container.getInsets(),Insets,the insets of this container.
java.awt.Container.insets(),Insets,
java.awt.Container.add(Component),Component,the component argument
"java.awt.Container.add(String,Component)",Component,
"java.awt.Container.add(Component,int)",Component,the component comp
"java.awt.Container.setComponentZOrder(Component,int)",void,
java.awt.Container.getComponentZOrder(Component),int,the z-order index of the component; otherwise returns -1 if the component is null or doesn't belong to the container
"java.awt.Container.add(Component,Object)",void,
"java.awt.Container.add(Component,Object,int)",void,
"java.awt.Container.addImpl(Component,Object,int)",void,
java.awt.Container.remove(int),void,
java.awt.Container.remove(Component),void,
java.awt.Container.removeAll(),void,
java.awt.Container.getLayout(),LayoutManager,
java.awt.Container.setLayout(LayoutManager),void,
java.awt.Container.doLayout(),void,
java.awt.Container.layout(),void,
java.awt.Container.isValidateRoot(),boolean,whether this container is a validate root
java.awt.Container.invalidate(),void,
java.awt.Container.validate(),void,
java.awt.Container.validateTree(),void,
java.awt.Container.setFont(Font),void,
java.awt.Container.getPreferredSize(),Dimension,an instance of Dimension that represents the preferred size of this container.
java.awt.Container.preferredSize(),Dimension,
java.awt.Container.getMinimumSize(),Dimension,an instance of Dimension that represents the minimum size of this container.
java.awt.Container.minimumSize(),Dimension,
java.awt.Container.getMaximumSize(),Dimension,an instance of Dimension that represents the maximum size of this container.
