method,throws,throws_description
java.awt.Toolkit.getScreenInsets(GraphicsConfiguration),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.getColorModel(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.getDefaultToolkit(),AWTError ," if a toolkit could not be found, or if one could not be accessed or instantiated."
java.awt.Toolkit.getImage(String),SecurityException , if a security manager exists and its checkRead method doesn't allow the operation.
java.awt.Toolkit.getImage(URL),SecurityException , if a security manager exists and its checkPermission method doesn't allow the operation.
java.awt.Toolkit.createImage(String),SecurityException , if a security manager exists and its checkRead method doesn't allow the operation.
java.awt.Toolkit.createImage(URL),SecurityException , if a security manager exists and its checkPermission method doesn't allow the operation.
"java.awt.Toolkit.getPrintJob(Frame,String,Properties)",NullPointerException , if frame is null
"java.awt.Toolkit.getPrintJob(Frame,String,JobAttributes,PageAttributes)",NullPointerException , if frame is null
java.awt.Toolkit.getSystemSelection(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.getMenuShortcutKeyMask(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.getLockingKeyState(int),IllegalArgumentException , if keyCode is not one of the valid key codes
"java.awt.Toolkit.setLockingKeyState(int,boolean)",IllegalArgumentException , if keyCode is not one of the valid key codes
"java.awt.Toolkit.createCustomCursor(Image,Point,String)",IndexOutOfBoundsException , if the hotSpot values are outside the bounds of the cursor
"java.awt.Toolkit.getBestCursorSize(int,int)",HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.getMaximumCursorColors(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.Toolkit.getSystemEventQueue(),SecurityException , if a security manager is set and it denies access to the EventQueue
java.awt.Toolkit.createDragSourceContextPeer(DragGestureEvent),InvalidDnDOperationException,
"java.awt.Toolkit.addAWTEventListener(AWTEventListener,long)",SecurityException , if a security manager exists and its checkPermission method doesn't allow the operation.
java.awt.Toolkit.removeAWTEventListener(AWTEventListener),SecurityException , if a security manager exists and its checkPermission method doesn't allow the operation.
java.awt.Toolkit.getAWTEventListeners(),SecurityException , if a security manager exists and its checkPermission method doesn't allow the operation.
java.awt.Toolkit.getAWTEventListeners(long),SecurityException , if a security manager exists and its checkPermission method doesn't allow the operation.
java.awt.Toolkit.mapInputMethodHighlight(InputMethodHighlight),HeadlessException , if GraphicsEnvironment.isHeadless returns true
java.awt.Toolkit.areExtraMouseButtonsEnabled(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
java.awt.TrayIcon.setImage(Image),NullPointerException , if image is null
java.awt.TrayIcon.setPopupMenu(PopupMenu),IllegalArgumentException , if the popup is already set for another TrayIcon
"java.awt.TrayIcon.displayMessage(String,String,TrayIcon.MessageType)",NullPointerException , if both caption and text are null
java.awt.Window.setModalExclusionType(Dialog.ModalExclusionType),SecurityException , if the calling thread does not have permission to set the modal exclusion property to the window with the given exclusionType
java.awt.Window.getListeners(Class&lt;T&gt;),ClassCastException , if listenerType doesn't specify a class or interface that implements java.util.EventListener
java.awt.Window.setAlwaysOnTop(boolean),SecurityException , if the calling thread does not have permission to set the value of always-on-top property
java.awt.Window.getFocusTraversalKeys(int),IllegalArgumentException ," if id is not one of KeyboardFocusManager.FORWARD_TRAVERSAL_KEYS, KeyboardFocusManager.BACKWARD_TRAVERSAL_KEYS, KeyboardFocusManager.UP_CYCLE_TRAVERSAL_KEYS, or KeyboardFocusManager.DOWN_CYCLE_TRAVERSAL_KEYS"
java.awt.Window.setType(Window.Type),IllegalComponentStateException , if the window is displayable.
java.awt.Window.createBufferStrategy(int),IllegalArgumentException , if numBuffers is less than 1.
"java.awt.Window.createBufferStrategy(int,BufferCapabilities)",AWTException ," if the capabilities supplied could not be supported or met; this may happen, for example, if there is not enough accelerated memory currently available, or if page flipping is specified but not possible."
java.awt.Window.setLocationByPlatform(boolean),IllegalComponentStateException , if the window is showing on screen and locationByPlatform is true.
java.awt.color.ColorSpace.toRGB(float[]),ArrayIndexOutOfBoundsException , if array length is not at least the number of components in this ColorSpace
java.awt.color.ColorSpace.fromRGB(float[]),ArrayIndexOutOfBoundsException , if array length is not at least 3
java.awt.color.ColorSpace.toCIEXYZ(float[]),ArrayIndexOutOfBoundsException , if array length is not at least the number of components in this ColorSpace.
java.awt.color.ColorSpace.fromCIEXYZ(float[]),ArrayIndexOutOfBoundsException , if array length is not at least 3
java.awt.color.ColorSpace.getName(int),IllegalArgumentException , if idx is less than 0 or greater than numComponents - 1
java.awt.color.ColorSpace.getMinValue(int),IllegalArgumentException , if component is less than 0 or greater than numComponents - 1
java.awt.color.ColorSpace.getMaxValue(int),IllegalArgumentException , if component is less than 0 or greater than numComponents - 1
java.awt.color.ICC_ColorSpace.toRGB(float[]),ArrayIndexOutOfBoundsException , if array length is not at least the number of components in this ColorSpace.
java.awt.color.ICC_ColorSpace.fromRGB(float[]),ArrayIndexOutOfBoundsException , if array length is not at least 3.
java.awt.color.ICC_ColorSpace.toCIEXYZ(float[]),ArrayIndexOutOfBoundsException , if array length is not at least the number of components in this ColorSpace.
java.awt.color.ICC_ColorSpace.fromCIEXYZ(float[]),ArrayIndexOutOfBoundsException , if array length is not at least 3.
java.awt.color.ICC_ColorSpace.getMinValue(int),IllegalArgumentException , if component is less than 0 or greater than numComponents - 1.
java.awt.color.ICC_ColorSpace.getMaxValue(int),IllegalArgumentException , if component is less than 0 or greater than numComponents - 1.
java.awt.color.ICC_Profile.getInstance(int),IllegalArgumentException , If cspace is not one of the predefined color space types.
java.awt.color.ICC_Profile.getInstance(String),IOException , If the specified file cannot be opened or an I/O error occurs while reading the file.
java.awt.color.ICC_Profile.getInstance(InputStream),IOException , If an I/O error occurs while reading the stream.
java.awt.color.ICC_Profile.write(String),IOException , If the file cannot be opened for writing or an I/O error occurs while writing to the file.
java.awt.color.ICC_Profile.write(OutputStream),IOException , If an I/O error occurs while writing to the stream.
"java.awt.color.ICC_Profile.setData(int,byte[])",IllegalArgumentException , if tagSignature is not a signature as defined in the ICC specification.
java.awt.color.ICC_Profile.getNumComponents(),ProfileDataException , if color space is in the profile is invalid
java.awt.color.ICC_Profile.readResolve(),ObjectStreamException ," never thrown, but mandated by the serialization spec."
java.awt.color.ICC_ProfileGray.getGamma(),ProfileDataException , if the profile does not specify the TRC as a single gamma value.
java.awt.color.ICC_ProfileGray.getTRC(),ProfileDataException , if the profile does not specify the TRC as a table.
java.awt.color.ICC_ProfileRGB.getGamma(int),ProfileDataException , if the profile does not specify the corresponding TRC as a single gamma value.
java.awt.color.ICC_ProfileRGB.getTRC(int),ProfileDataException , if the profile does not specify the corresponding TRC as a table.
"java.awt.datatransfer.Clipboard.setContents(Transferable,ClipboardOwner)",IllegalStateException , if the clipboard is currently unavailable
java.awt.datatransfer.Clipboard.getContents(Object),IllegalStateException , if the clipboard is currently unavailable
java.awt.datatransfer.Clipboard.getAvailableDataFlavors(),IllegalStateException , if this clipboard is currently unavailable
java.awt.datatransfer.Clipboard.isDataFlavorAvailable(DataFlavor),NullPointerException , if flavor is null
java.awt.datatransfer.Clipboard.getData(DataFlavor),NullPointerException , if flavor is null
"java.awt.datatransfer.DataFlavor.tryToLoadClass(String,ClassLoader)",ClassNotFoundException , if class is not found
java.awt.datatransfer.DataFlavor.getReaderForText(Transferable),IllegalArgumentException , if the representation class is not one of the seven listed above
java.awt.datatransfer.DataFlavor.isMimeTypeEqual(String),NullPointerException , if mimeType is null
java.awt.datatransfer.DataFlavor.writeExternal(ObjectOutput),IOException , Includes any I/O exceptions that may occur
java.awt.datatransfer.DataFlavor.readExternal(ObjectInput),IOException , if I/O errors occur
java.awt.datatransfer.DataFlavor.clone(),CloneNotSupportedException , if the object's class does not support the Cloneable interface. Subclasses that override the clone method can also throw this exception to indicate that an instance cannot be cloned.
java.awt.datatransfer.StringSelection.isDataFlavorSupported(DataFlavor),NullPointerException , if flavor is null
java.awt.datatransfer.StringSelection.getTransferData(DataFlavor),UnsupportedFlavorException , if the requested data flavor is not equivalent to either DataFlavor.stringFlavor or DataFlavor.plainTextFlavor
"java.awt.datatransfer.SystemFlavorMap.addUnencodedNativeForFlavor(DataFlavor,String)",NullPointerException , if flav or nat is null
"java.awt.datatransfer.SystemFlavorMap.setNativesForFlavor(DataFlavor,String[])",NullPointerException , if flav or natives is null or if natives contains null elements
"java.awt.datatransfer.SystemFlavorMap.addFlavorForUnencodedNative(String,DataFlavor)",NullPointerException , if nat or flav is null
"java.awt.datatransfer.SystemFlavorMap.setFlavorsForNative(String,DataFlavor[])",NullPointerException , if nat or flavors is null or if flavors contains null elements
java.awt.datatransfer.SystemFlavorMap.decodeDataFlavor(String),ClassNotFoundException,
"java.awt.dnd.DragGestureEvent.startDrag(Cursor,Transferable)",InvalidDnDOperationException ," if the Drag and Drop system is unable to initiate a drag operation, or if the user attempts to start a drag while an existing drag operation is still executing."
"java.awt.dnd.DragGestureEvent.startDrag(Cursor,Transferable,DragSourceListener)",InvalidDnDOperationException ," if the Drag and Drop system is unable to initiate a drag operation, or if the user attempts to start a drag while an existing drag operation is still executing."
"java.awt.dnd.DragGestureEvent.startDrag(Cursor,Image,Point,Transferable,DragSourceListener)",InvalidDnDOperationException ," if the Drag and Drop system is unable to initiate a drag operation, or if the user attempts to start a drag while an existing drag operation is still executing."
java.awt.dnd.DragGestureRecognizer.addDragGestureListener(DragGestureListener),TooManyListenersException , if a DragGestureListener has already been added.
java.awt.dnd.DragGestureRecognizer.removeDragGestureListener(DragGestureListener),IllegalArgumentException , if dgl is not (equal to) the currently registered DragGestureListener.
java.awt.dnd.DragSource.getDefaultDragSource(),HeadlessException , if GraphicsEnvironment.isHeadless() returns true
