method,type,parameter,parameter_description
"java.awt.Component.imageUpdate(Image,int,int,int,int,int)",int,"java.awt.Component.imageUpdate(Image,int,int,int,int,int).h ", the height
java.awt.Component.createImage(ImageProducer),ImageProducer,java.awt.Component.createImage(ImageProducer).producer , the image producer
"java.awt.Component.createImage(int,int)",int,"java.awt.Component.createImage(int,int).width ", the specified width
"java.awt.Component.createImage(int,int)",int,"java.awt.Component.createImage(int,int).height ", the specified height
"java.awt.Component.createVolatileImage(int,int)",int,"java.awt.Component.createVolatileImage(int,int).width ", the specified width.
"java.awt.Component.createVolatileImage(int,int)",int,"java.awt.Component.createVolatileImage(int,int).height ", the specified height.
"java.awt.Component.createVolatileImage(int,int,ImageCapabilities)",int,"java.awt.Component.createVolatileImage(int,int,ImageCapabilities).width ", the specified width.
"java.awt.Component.createVolatileImage(int,int,ImageCapabilities)",int,"java.awt.Component.createVolatileImage(int,int,ImageCapabilities).height ", the specified height.
"java.awt.Component.createVolatileImage(int,int,ImageCapabilities)",ImageCapabilities,"java.awt.Component.createVolatileImage(int,int,ImageCapabilities).caps ", the image capabilities
"java.awt.Component.prepareImage(Image,ImageObserver)",Image,"java.awt.Component.prepareImage(Image,ImageObserver).image ", the Image for which to prepare a screen representation
"java.awt.Component.prepareImage(Image,ImageObserver)",ImageObserver,"java.awt.Component.prepareImage(Image,ImageObserver).observer ", the ImageObserver object to be notified as the image is being prepared
"java.awt.Component.prepareImage(Image,int,int,ImageObserver)",Image,"java.awt.Component.prepareImage(Image,int,int,ImageObserver).image ", the instance of Image for which to prepare a screen representation
"java.awt.Component.prepareImage(Image,int,int,ImageObserver)",int,"java.awt.Component.prepareImage(Image,int,int,ImageObserver).width ", the width of the desired screen representation
"java.awt.Component.prepareImage(Image,int,int,ImageObserver)",int,"java.awt.Component.prepareImage(Image,int,int,ImageObserver).height ", the height of the desired screen representation
"java.awt.Component.prepareImage(Image,int,int,ImageObserver)",ImageObserver,"java.awt.Component.prepareImage(Image,int,int,ImageObserver).observer ", the ImageObserver object to be notified as the image is being prepared
"java.awt.Component.checkImage(Image,ImageObserver)",Image,"java.awt.Component.checkImage(Image,ImageObserver).image ", the Image object whose status is being checked
"java.awt.Component.checkImage(Image,ImageObserver)",ImageObserver,"java.awt.Component.checkImage(Image,ImageObserver).observer ", the ImageObserver object to be notified as the image is being prepared
"java.awt.Component.checkImage(Image,int,int,ImageObserver)",Image,"java.awt.Component.checkImage(Image,int,int,ImageObserver).image ", the Image object whose status is being checked
"java.awt.Component.checkImage(Image,int,int,ImageObserver)",int,"java.awt.Component.checkImage(Image,int,int,ImageObserver).width ", the width of the scaled version whose status is to be checked
"java.awt.Component.checkImage(Image,int,int,ImageObserver)",int,"java.awt.Component.checkImage(Image,int,int,ImageObserver).height ", the height of the scaled version whose status is to be checked
"java.awt.Component.checkImage(Image,int,int,ImageObserver)",ImageObserver,"java.awt.Component.checkImage(Image,int,int,ImageObserver).observer ", the ImageObserver object to be notified as the image is being prepared
"java.awt.Component.contains(int,int)",int,"java.awt.Component.contains(int,int).x ", the x coordinate of the point
"java.awt.Component.contains(int,int)",int,"java.awt.Component.contains(int,int).y ", the y coordinate of the point
java.awt.Component.contains(Point),Point,java.awt.Component.contains(Point).p , the point
"java.awt.Component.getComponentAt(int,int)",int,"java.awt.Component.getComponentAt(int,int).x ", the x coordinate
"java.awt.Component.getComponentAt(int,int)",int,"java.awt.Component.getComponentAt(int,int).y ", the y coordinate
java.awt.Component.getComponentAt(Point),Point,java.awt.Component.getComponentAt(Point).p , the point
java.awt.Component.addComponentListener(ComponentListener),ComponentListener,java.awt.Component.addComponentListener(ComponentListener).l , the component listener
java.awt.Component.removeComponentListener(ComponentListener),ComponentListener,java.awt.Component.removeComponentListener(ComponentListener).l , the component listener
java.awt.Component.addFocusListener(FocusListener),FocusListener,java.awt.Component.addFocusListener(FocusListener).l , the focus listener
java.awt.Component.removeFocusListener(FocusListener),FocusListener,java.awt.Component.removeFocusListener(FocusListener).l , the focus listener
java.awt.Component.addHierarchyListener(HierarchyListener),HierarchyListener,java.awt.Component.addHierarchyListener(HierarchyListener).l , the hierarchy listener
java.awt.Component.removeHierarchyListener(HierarchyListener),HierarchyListener,java.awt.Component.removeHierarchyListener(HierarchyListener).l , the hierarchy listener
java.awt.Component.addHierarchyBoundsListener(HierarchyBoundsListener),HierarchyBoundsListener,java.awt.Component.addHierarchyBoundsListener(HierarchyBoundsListener).l , the hierarchy bounds listener
java.awt.Component.removeHierarchyBoundsListener(HierarchyBoundsListener),HierarchyBoundsListener,java.awt.Component.removeHierarchyBoundsListener(HierarchyBoundsListener).l , the hierarchy bounds listener
java.awt.Component.addKeyListener(KeyListener),KeyListener,java.awt.Component.addKeyListener(KeyListener).l , the key listener.
java.awt.Component.removeKeyListener(KeyListener),KeyListener,java.awt.Component.removeKeyListener(KeyListener).l , the key listener
java.awt.Component.addMouseListener(MouseListener),MouseListener,java.awt.Component.addMouseListener(MouseListener).l , the mouse listener
java.awt.Component.removeMouseListener(MouseListener),MouseListener,java.awt.Component.removeMouseListener(MouseListener).l , the mouse listener
java.awt.Component.addMouseMotionListener(MouseMotionListener),MouseMotionListener,java.awt.Component.addMouseMotionListener(MouseMotionListener).l , the mouse motion listener
java.awt.Component.removeMouseMotionListener(MouseMotionListener),MouseMotionListener,java.awt.Component.removeMouseMotionListener(MouseMotionListener).l , the mouse motion listener
java.awt.Component.addMouseWheelListener(MouseWheelListener),MouseWheelListener,java.awt.Component.addMouseWheelListener(MouseWheelListener).l , the mouse wheel listener
java.awt.Component.removeMouseWheelListener(MouseWheelListener),MouseWheelListener,java.awt.Component.removeMouseWheelListener(MouseWheelListener).l , the mouse wheel listener.
java.awt.Component.addInputMethodListener(InputMethodListener),InputMethodListener,java.awt.Component.addInputMethodListener(InputMethodListener).l , the input method listener
java.awt.Component.removeInputMethodListener(InputMethodListener),InputMethodListener,java.awt.Component.removeInputMethodListener(InputMethodListener).l , the input method listener
java.awt.Component.getListeners(Class&lt;T&gt;),Class&lt;T&gt;,java.awt.Component.getListeners(Class&lt;T&gt;).listenerType , the type of listeners requested; this parameter should specify an interface that descends from java.util.EventListener
java.awt.Component.enableEvents(long),long,java.awt.Component.enableEvents(long).eventsToEnable , the event mask defining the event types
java.awt.Component.disableEvents(long),long,java.awt.Component.disableEvents(long).eventsToDisable , the event mask defining the event types
"java.awt.Component.coalesceEvents(AWTEvent,AWTEvent)",AWTEvent,"java.awt.Component.coalesceEvents(AWTEvent,AWTEvent).existingEvent ", the event already on the EventQueue
"java.awt.Component.coalesceEvents(AWTEvent,AWTEvent)",AWTEvent,"java.awt.Component.coalesceEvents(AWTEvent,AWTEvent).newEvent ", the event being posted to the EventQueue
java.awt.Component.processEvent(AWTEvent),AWTEvent,java.awt.Component.processEvent(AWTEvent).e , the event
java.awt.Component.setFocusable(boolean),boolean,java.awt.Component.setFocusable(boolean).focusable , indicates whether this Component is focusable
"java.awt.Component.setFocusTraversalKeys(int,Set&lt;?)",int,"java.awt.Component.setFocusTraversalKeys(int,Set&lt;?).id "," one of KeyboardFocusManager.FORWARD_TRAVERSAL_KEYS, KeyboardFocusManager.BACKWARD_TRAVERSAL_KEYS, or KeyboardFocusManager.UP_CYCLE_TRAVERSAL_KEYS"
"java.awt.Component.setFocusTraversalKeys(int,Set&lt;?)",Set&lt;?,"java.awt.Component.setFocusTraversalKeys(int,Set&lt;?).keystrokes ", the Set of AWTKeyStroke for the specified operation
java.awt.Component.getFocusTraversalKeys(int),int,java.awt.Component.getFocusTraversalKeys(int).id ," one of KeyboardFocusManager.FORWARD_TRAVERSAL_KEYS, KeyboardFocusManager.BACKWARD_TRAVERSAL_KEYS, or KeyboardFocusManager.UP_CYCLE_TRAVERSAL_KEYS"
java.awt.Component.areFocusTraversalKeysSet(int),int,java.awt.Component.areFocusTraversalKeysSet(int).id ," one of KeyboardFocusManager.FORWARD_TRAVERSAL_KEYS, KeyboardFocusManager.BACKWARD_TRAVERSAL_KEYS, or KeyboardFocusManager.UP_CYCLE_TRAVERSAL_KEYS"
java.awt.Component.setFocusTraversalKeysEnabled(boolean),boolean,java.awt.Component.setFocusTraversalKeysEnabled(boolean).focusTraversalKeysEnabled , whether focus traversal keys are enabled for this Component
java.awt.Component.requestFocus(boolean),boolean,java.awt.Component.requestFocus(boolean).temporary ," true if the focus change is temporary, such as when the window loses the focus; for more information on temporary focus changes see theFocus Specification"
java.awt.Component.requestFocusInWindow(boolean),boolean,java.awt.Component.requestFocusInWindow(boolean).temporary ," true if the focus change is temporary, such as when the window loses the focus; for more information on temporary focus changes see theFocus Specification"
java.awt.Component.isFocusCycleRoot(Container),Container,java.awt.Component.isFocusCycleRoot(Container).container , the Container to be tested
java.awt.Component.add(PopupMenu),PopupMenu,java.awt.Component.add(PopupMenu).popup , the popup menu to be added to the component.
java.awt.Component.remove(MenuComponent),MenuComponent,java.awt.Component.remove(MenuComponent).popup , the popup menu to be removed
java.awt.Component.list(PrintStream),PrintStream,java.awt.Component.list(PrintStream).out , a print stream
"java.awt.Component.list(PrintStream,int)",PrintStream,"java.awt.Component.list(PrintStream,int).out ", a print stream
"java.awt.Component.list(PrintStream,int)",int,"java.awt.Component.list(PrintStream,int).indent ", number of spaces to indent
java.awt.Component.list(PrintWriter),PrintWriter,java.awt.Component.list(PrintWriter).out , the print writer to print to
"java.awt.Component.list(PrintWriter,int)",PrintWriter,"java.awt.Component.list(PrintWriter,int).out ", the print writer to print to
"java.awt.Component.list(PrintWriter,int)",int,"java.awt.Component.list(PrintWriter,int).indent ", the number of spaces to indent
java.awt.Component.removePropertyChangeListener(PropertyChangeListener),PropertyChangeListener,java.awt.Component.removePropertyChangeListener(PropertyChangeListener).listener , the PropertyChangeListener to be removed
"java.awt.Component.removePropertyChangeListener(String,PropertyChangeListener)",String,"java.awt.Component.removePropertyChangeListener(String,PropertyChangeListener).propertyName ", a valid property name
"java.awt.Component.removePropertyChangeListener(String,PropertyChangeListener)",PropertyChangeListener,"java.awt.Component.removePropertyChangeListener(String,PropertyChangeListener).listener ", the PropertyChangeListener to be removed
"java.awt.Component.firePropertyChange(String,boolean,boolean)",String,"java.awt.Component.firePropertyChange(String,boolean,boolean).propertyName ", the property whose value has changed
"java.awt.Component.firePropertyChange(String,boolean,boolean)",boolean,"java.awt.Component.firePropertyChange(String,boolean,boolean).oldValue ", the property's previous value
"java.awt.Component.firePropertyChange(String,boolean,boolean)",boolean,"java.awt.Component.firePropertyChange(String,boolean,boolean).newValue ", the property's new value
"java.awt.Component.firePropertyChange(String,int,int)",String,"java.awt.Component.firePropertyChange(String,int,int).propertyName ", the property whose value has changed
"java.awt.Component.firePropertyChange(String,int,int)",int,"java.awt.Component.firePropertyChange(String,int,int).oldValue ", the property's previous value
